subject,name,layer
0101 哲学,上海大学,前50%
0101 哲学,云南大学,前50%
0101 哲学,杭州师范大学,前50%
0201 理论经济学,中国人民大学,前3%
0201 理论经济学,复旦大学,前3%
0201 理论经济学,北京大学,前3%
0201 理论经济学,南开大学,前7%
0201 理论经济学,北京师范大学,前7%
0201 理论经济学,上海财经大学,前7%
0201 理论经济学,西南财经大学,前7%
0201 理论经济学,中央财经大学,前12%
0201 理论经济学,厦门大学,前12%
0201 理论经济学,南京大学,前12%
0201 理论经济学,武汉大学,前12%
0201 理论经济学,清华大学,前12%
0201 理论经济学,中南财经政法大学,前12%
0201 理论经济学,对外经济贸易大学,前20%
0201 理论经济学,辽宁大学,前20%
0201 理论经济学,江西财经大学,前20%
0201 理论经济学,山东大学,前20%
0201 理论经济学,西北大学,前20%
0201 理论经济学,吉林大学,前20%
0201 理论经济学,四川大学,前20%
0201 理论经济学,浙江大学,前20%
0201 理论经济学,深圳大学,前20%
0201 理论经济学,山东师范大学,前30%
0201 理论经济学,南京财经大学,前30%
0201 理论经济学,南京审计大学,前30%
0201 理论经济学,首都经济贸易大学,前30%
0201 理论经济学,北京理工大学,前30%
0201 理论经济学,东北财经大学,前30%
0201 理论经济学,湖北大学,前30%
0201 理论经济学,陕西师范大学,前30%
0201 理论经济学,暨南大学,前30%
0201 理论经济学,湖南师范大学,前30%
0201 理论经济学,曲阜师范大学,前30%
0201 理论经济学,福建师范大学,前40%
0201 理论经济学,湖南大学,前40%
0201 理论经济学,湘潭大学,前40%
0201 理论经济学,安徽财经大学,前40%
0201 理论经济学,广东外语外贸大学,前40%
0201 理论经济学,云南大学,前40%
0201 理论经济学,中国政法大学,前40%
0201 理论经济学,山西大学,前40%
0201 理论经济学,兰州大学,前40%
0201 理论经济学,安徽大学,前40%
0201 理论经济学,云南财经大学,前40%
0201 理论经济学,中山大学,前50%
0201 理论经济学,山西财经大学,前50%
0201 理论经济学,河南财经政法大学,前50%
0201 理论经济学,山东财经大学,前50%
0201 理论经济学,华中科技大学,前50%
0201 理论经济学,西安交通大学,前50%
0201 理论经济学,浙江财经大学,前50%
0201 理论经济学,贵州财经大学,前50%
0201 理论经济学,浙江工商大学,前50%
0201 理论经济学,新疆大学,前50%
0201 理论经济学,青岛大学,前50%
0202 应用经济学,中国人民大学,前3%
0202 应用经济学,北京大学,前3%
0202 应用经济学,对外经济贸易大学,前3%
0202 应用经济学,中央财经大学,前3%
0202 应用经济学,上海财经大学,前3%
0202 应用经济学,南开大学,前3%
0202 应用经济学,厦门大学,前3%
0202 应用经济学,西南财经大学,前3%
0202 应用经济学,清华大学,前7%
0202 应用经济学,中南财经政法大学,前7%
0202 应用经济学,东北财经大学,前7%
0202 应用经济学,复旦大学,前7%
0202 应用经济学,首都经济贸易大学,前7%
0202 应用经济学,南京财经大学,前7%
0202 应用经济学,山东大学,前7%
0202 应用经济学,武汉大学,前7%
0202 应用经济学,中山大学,前7%
0202 应用经济学,暨南大学,前7%
0202 应用经济学,浙江大学,前12%
0202 应用经济学,湖南大学,前12%
0202 应用经济学,山东财经大学,前12%
0202 应用经济学,上海交通大学,前12%
0202 应用经济学,浙江财经大学,前12%
0202 应用经济学,西安交通大学,前12%
0202 应用经济学,江西财经大学,前12%
0202 应用经济学,南京审计大学,前12%
0202 应用经济学,上海对外经贸大学,前12%
0202 应用经济学,南京大学,前12%
0202 应用经济学,广东外语外贸大学,前12%
0202 应用经济学,辽宁大学,前12%
0301 法学,中国政法大学,前3%
0301 法学,武汉大学,前3%
0301 法学,中国人民大学,前3%
0301 法学,西南政法大学,前3%
0301 法学,北京大学,前3%
0301 法学,华东政法大学,前3%
0301 法学,中南财经政法大学,前7%
0301 法学,上海交通大学,前7%
0301 法学,清华大学,前7%
0301 法学,吉林大学,前7%
0301 法学,浙江大学,前7%
0301 法学,四川大学,前7%
0301 法学,厦门大学,前7%
0301 法学,西北政法大学,前7%
0301 法学,复旦大学,前12%
0301 法学,山东大学,前12%
0301 法学,南京师范大学,前12%
0301 法学,上海政法学院,前12%
0301 法学,东南大学,前12%
0301 法学,南京大学,前12%
0301 法学,广东外语外贸大学,前12%
0301 法学,北京师范大学,前12%
0301 法学,湖南大学,前12%
0301 法学,中山大学,前12%
0301 法学,湘潭大学,前12%
0301 法学,天津大学,前20%
0301 法学,华南理工大学,前20%
0301 法学,海南大学,前20%
0301 法学,大连海事大学,前20%
0301 法学,华东师范大学,前20%
0301 法学,湖南师范大学,前20%
0301 法学,重庆大学,前20%
0301 法学,南开大学,前20%
0301 法学,上海财经大学,前20%
0301 法学,辽宁大学,前20%
0301 法学,西安交通大学,前20%
0301 法学,中南大学,前20%
0301 法学,对外经济贸易大学,前20%
0301 法学,苏州大学,前20%
0301 法学,深圳大学,前20%
0301 法学,西南财经大学,前20%
0301 法学,北京航空航天大学,前20%
0301 法学,北京理工大学,前30%
0301 法学,中央财经大学,前30%
0301 法学,暨南大学,前30%
0301 法学,广州大学,前30%
0301 法学,华中科技大学,前30%
0301 法学,广东财经大学,前30%
0301 法学,黑龙江大学,前30%
0301 法学,福州大学,前30%
0301 法学,中国人民公安大学,前30%
0301 法学,郑州大学,前30%
0301 法学,宁波大学,前30%
0301 法学,浙江财经大学,前30%
0301 法学,中国海洋大学,前30%
0301 法学,江西财经大学,前30%
0301 法学,外交学院,前30%
0301 法学,河南财经政法大学,前30%
0301 法学,中央民族大学,前30%
0301 法学,云南大学,前30%
0302 政治学,复旦大学,前3%
0302 政治学,中国人民大学,前3%
0302 政治学,北京大学,前7%
0302 政治学,清华大学,前7%
0302 政治学,云南大学,前7%
0302 政治学,华中师范大学,前12%
0302 政治学,吉林大学,前12%
0302 政治学,南京大学,前12%
0302 政治学,中国政法大学,前12%
0302 政治学,厦门大学,前12%
0302 政治学,天津师范大学,前20%
0302 政治学,南开大学,前20%
0302 政治学,暨南大学,前20%
0302 政治学,中山大学,前20%
0302 政治学,山东大学,前20%
0302 政治学,武汉大学,前20%
0302 政治学,华东师范大学,前30%
0302 政治学,外交学院,前30%
0302 政治学,对外经济贸易大学,前30%
0302 政治学,浙江师范大学,前30%
0302 政治学,四川大学,前30%
0302 政治学,同济大学,前30%
0302 政治学,上海外国语大学,前30%
0302 政治学,郑州大学,前30%
0302 政治学,东北师范大学,前30%
0302 政治学,上海交通大学,前40%
0302 政治学,北京外国语大学,前40%
0302 政治学,华东政法大学,前40%
0302 政治学,中南财经政法大学,前40%
0302 政治学,兰州大学,前40%
0302 政治学,南京师范大学,前40%
0302 政治学,广东外语外贸大学,前40%
0302 政治学,广西民族大学,前40%
0302 政治学,深圳大学,前50%
0302 政治学,中国海洋大学,前50%
0302 政治学,华南师范大学,前50%
0302 政治学,河南师范大学,前50%
0302 政治学,山西大学,前50%
0302 政治学,华侨大学,前50%
0302 政治学,贵州师范大学,前50%
0302 政治学,上海师范大学,前50%
0302 政治学,苏州大学,前50%
